# User tags exported from dc-master-1-55115ec7-eos.topo.testdrive-dev.arista.com
# CVP version 2024.1.0
# Date generated: 2023-09-27 15:02:13.050324
Role, Edge-Router, s1-core2
Role, Edge-Router, s2-spine1
Role, Edge-Router, s1-brdr1
Role, Edge-Router, s2-brdr1
Role, Edge-Router, s2-brdr2
Role, Edge-Router, s2-core1
Role, Edge-Router, s1-brdr2
Role, Edge-Router, s1-core1
Role, Edge-Router, s2-core2
Role, Edge-Router, s1-spine1
Role, Edge-Router, s2-spine2
Role, Edge-Router, s1-spine2
Network, Ex5-IP-Network, s1-core2
Network, Ex5-IP-Network, s2-spine1
Network, Ex5-IP-Network, s1-brdr1
Network, Ex5-IP-Network, s2-brdr1
Network, Ex5-IP-Network, s2-brdr2
Network, Ex5-IP-Network, s2-core1
Network, Ex5-IP-Network, s1-brdr2
Network, Ex5-IP-Network, s2-core2
Network, Ex5-IP-Network, s1-core1
Network, Ex5-IP-Network, s1-spine1
Network, Ex5-IP-Network, s1-spine2
Network, Ex5-IP-Network, s2-spine2
Vtep, True, s1-core2
Vtep, True, s1-leaf4
Vtep, True, s2-spine1
Vtep, True, s1-brdr1
Vtep, True, s2-leaf1
Vtep, True, s2-brdr1
Vtep, True, s2-leaf2
Vtep, True, s2-brdr2
Vtep, True, s2-core1
Vtep, True, s1-leaf2
Vtep, True, s1-brdr2
Vtep, True, s1-spine2
Vtep, True, s1-leaf1
Vtep, True, s2-leaf3
Vtep, True, s1-spine1
Vtep, True, s2-core2
Vtep, True, s1-core1
Vtep, True, s2-leaf4
Vtep, True, s1-leaf3
Vtep, True, s2-spine2
router_bgp.as, 941, s1-core2
router_bgp.as, 941, s2-core1
router_bgp.as, 941, s1-core1
router_bgp.as, 941, s2-core2
DC, DC1, s1-leaf4
DC, DC1, s1-leaf3
DC, DC1, s1-leaf2
DC, DC1, s1-spine1
DC, DC1, s1-leaf1
DC, DC1, s1-spine2
NetworkServices, L2, s1-core2
NetworkServices, L2, s1-leaf4
NetworkServices, L2, s2-spine1
NetworkServices, L2, s1-brdr1
NetworkServices, L2, s2-leaf1
NetworkServices, L2, s2-leaf2
NetworkServices, L2, s2-brdr1
NetworkServices, L2, s2-brdr2
NetworkServices, L2, s2-core1
NetworkServices, L2, s1-leaf1
NetworkServices, L2, s1-leaf3
NetworkServices, L2, s1-brdr2
NetworkServices, L2, s1-core1
NetworkServices, L2, s2-leaf3
NetworkServices, L2, s2-core2
NetworkServices, L2, s1-leaf2
NetworkServices, L2, s1-spine2
NetworkServices, L2, s2-leaf4
NetworkServices, L2, s1-spine1
NetworkServices, L2, s2-spine2
NetworkServices, L3, s1-core2
NetworkServices, L3, s1-leaf4
NetworkServices, L3, s2-spine1
NetworkServices, L3, s1-brdr1
NetworkServices, L3, s2-leaf1
NetworkServices, L3, s2-leaf2
NetworkServices, L3, s2-brdr1
NetworkServices, L3, s2-brdr2
NetworkServices, L3, s2-core1
NetworkServices, L3, s1-leaf1
NetworkServices, L3, s1-leaf3
NetworkServices, L3, s1-brdr2
NetworkServices, L3, s1-core1
NetworkServices, L3, s2-leaf3
NetworkServices, L3, s2-core2
NetworkServices, L3, s1-leaf2
NetworkServices, L3, s1-spine2
NetworkServices, L3, s2-leaf4
NetworkServices, L3, s1-spine1
NetworkServices, L3, s2-spine2
Edge-Router-Domain, IP-Network, s1-core2
Edge-Router-Domain, IP-Network, s1-brdr1
Edge-Router-Domain, IP-Network, s2-brdr1
Edge-Router-Domain, IP-Network, s2-brdr2
Edge-Router-Domain, IP-Network, s2-core1
Edge-Router-Domain, IP-Network, s1-brdr2
Edge-Router-Domain, IP-Network, s1-core1
Edge-Router-Domain, IP-Network, s2-core2
router_bgp.router_id, 2.2.2.2, s1-core2
NodeId, 6, s1-leaf4
NodeId, 6, s2-leaf4
Role, Leaf, s1-leaf4
Role, Leaf, s2-leaf1
Role, Leaf, s2-leaf2
Role, Leaf, s1-leaf2
Role, Leaf, s1-leaf3
Role, Leaf, s2-leaf3
Role, Leaf, s1-leaf1
Role, Leaf, s2-leaf4
DC-Pod, 1, s1-leaf4
DC-Pod, 1, s1-leaf2
DC-Pod, 1, s1-leaf1
DC-Pod, 1, s1-leaf3
DC-Pod, 1, s1-spine2
DC-Pod, 1, s1-spine1
Switch-Group, DC1-Leaf-Switches, s1-leaf4
Switch-Group, DC1-Leaf-Switches, s1-leaf1
Switch-Group, DC1-Leaf-Switches, s1-leaf3
Switch-Group, DC1-Leaf-Switches, s1-leaf2
router_bgp.router_id, 172.16.2.6, s1-leaf4
VtepIp, 172.16.1.2, s1-leaf4
VtepIp, 172.16.1.2, s1-leaf3
Leaf-Domain, 2, s1-leaf4
Leaf-Domain, 2, s1-leaf3
Leaf-Domain, 2, s2-leaf3
Leaf-Domain, 2, s2-leaf4
router_bgp.as, 65002, s1-leaf4
router_bgp.as, 65002, s1-leaf3
mlag_configuration.peer_link, Port-Channel2000, s1-leaf4
mlag_configuration.peer_link, Port-Channel2000, s2-leaf1
mlag_configuration.peer_link, Port-Channel2000, s2-leaf2
mlag_configuration.peer_link, Port-Channel2000, s1-leaf1
mlag_configuration.peer_link, Port-Channel2000, s1-leaf3
mlag_configuration.peer_link, Port-Channel2000, s2-leaf3
mlag_configuration.peer_link, Port-Channel2000, s1-leaf2
mlag_configuration.peer_link, Port-Channel2000, s2-leaf4
NodeId, 1, s2-spine1
NodeId, 1, s1-spine1
DC-Pod, 2, s2-spine1
DC-Pod, 2, s2-leaf1
DC-Pod, 2, s2-leaf2
DC-Pod, 2, s2-leaf3
DC-Pod, 2, s2-leaf4
DC-Pod, 2, s2-spine2
DC, DC2, s2-spine1
DC, DC2, s2-leaf1
DC, DC2, s2-leaf2
DC, DC2, s2-leaf4
DC, DC2, s2-leaf3
DC, DC2, s2-spine2
Role, Spine, s2-spine1
Role, Spine, s1-spine1
