# User tags exported from labcorp-1-025112ff-eos.topo.testdrive-dev.arista.com
# CVP version 2022.2.0
# Date generated: 2022-10-22 14:48:10.637661
Role, Leaf, s1-brdr1
Role, Leaf, s1-brdr2
Role, Leaf, s1-leaf1
Role, Leaf, s1-leaf2
Role, Leaf, s1-leaf3
Role, Leaf, s1-leaf4
Role, Leaf, s2-brdr1
Role, Leaf, s2-brdr2
Role, Leaf, s2-leaf1
Role, Leaf, s2-leaf2
Role, Leaf, s2-leaf3
Role, Leaf, s2-leaf4
DC, DC1, s1-brdr1
DC, DC1, s1-brdr2
DC, DC1, s1-leaf1
DC, DC1, s1-leaf2
DC, DC1, s1-leaf3
DC, DC1, s1-leaf4
DC, DC1, s1-spine1
DC, DC1, s1-spine2
Vtep, True, s1-brdr1
Vtep, True, s1-brdr2
Vtep, True, s1-leaf1
Vtep, True, s1-leaf2
Vtep, True, s1-leaf3
Vtep, True, s1-leaf4
Vtep, True, s2-brdr1
Vtep, True, s2-brdr2
Vtep, True, s2-leaf1
Vtep, True, s2-leaf2
Vtep, True, s2-leaf3
Vtep, True, s2-leaf4
DC-Pod, 1, s1-brdr1
DC-Pod, 1, s1-brdr2
DC-Pod, 1, s1-leaf1
DC-Pod, 1, s1-leaf2
DC-Pod, 1, s1-leaf3
DC-Pod, 1, s1-leaf4
DC-Pod, 1, s1-spine1
DC-Pod, 1, s1-spine2
NodeId, 7, s1-brdr1
NodeId, 7, s2-brdr1
mlag_configuration.peer_link, Port-Channel2000, s1-brdr1
mlag_configuration.peer_link, Port-Channel2000, s1-brdr2
mlag_configuration.peer_link, Port-Channel2000, s1-leaf1
mlag_configuration.peer_link, Port-Channel2000, s1-leaf2
mlag_configuration.peer_link, Port-Channel2000, s1-leaf3
mlag_configuration.peer_link, Port-Channel2000, s1-leaf4
mlag_configuration.peer_link, Port-Channel2000, s2-brdr1
mlag_configuration.peer_link, Port-Channel2000, s2-brdr2
mlag_configuration.peer_link, Port-Channel2000, s2-leaf1
mlag_configuration.peer_link, Port-Channel2000, s2-leaf2
mlag_configuration.peer_link, Port-Channel2000, s2-leaf3
mlag_configuration.peer_link, Port-Channel2000, s2-leaf4
Leaf-Domain, 4, s1-brdr1
Leaf-Domain, 4, s1-brdr2
Leaf-Domain, 4, s2-brdr1
Leaf-Domain, 4, s2-brdr2
router_bgp.as, 65004, s1-brdr1
router_bgp.as, 65004, s1-brdr2
router_bgp.router_id, 172.16.2.7, s1-brdr1
Switch-Group, Border-Leafs, s1-brdr1
Switch-Group, Border-Leafs, s1-brdr2
Switch-Group, DC1-Border-Leafs, s1-brdr1
Switch-Group, DC1-Border-Leafs, s1-brdr2
NetworkServices, L2, s1-brdr1
NetworkServices, L2, s1-brdr2
NetworkServices, L2, s1-leaf1
NetworkServices, L2, s1-leaf2
NetworkServices, L2, s1-leaf3
NetworkServices, L2, s1-leaf4
NetworkServices, L2, s2-brdr1
NetworkServices, L2, s2-brdr2
NetworkServices, L2, s2-leaf1
NetworkServices, L2, s2-leaf2
NetworkServices, L2, s2-leaf3
NetworkServices, L2, s2-leaf4
NetworkServices, L3, s1-brdr1
NetworkServices, L3, s1-brdr2
NetworkServices, L3, s1-leaf1
NetworkServices, L3, s1-leaf2
NetworkServices, L3, s1-leaf3
NetworkServices, L3, s1-leaf4
NetworkServices, L3, s2-brdr1
NetworkServices, L3, s2-brdr2
NetworkServices, L3, s2-leaf1
NetworkServices, L3, s2-leaf2
NetworkServices, L3, s2-leaf3
NetworkServices, L3, s2-leaf4
NetworkServices, L3, s1-spine1
NetworkServices, L3, s1-spine2
NetworkServices, L3, s2-spine1
NetworkServices, L3, s2-spine2
router_bgp.router_id, 172.16.2.8, s1-brdr2
NodeId, 8, s1-brdr2
NodeId, 8, s2-brdr2
Role, Edge-Router, s1-core1
Role, Edge-Router, s1-core2
Role, Edge-Router, s2-core1
Role, Edge-Router, s2-core2
Network, DC1-Firewall, s1-core1
router_bgp.as, 1111, s1-core1
Switch-Group, DC1-Firewall, s1-core1
Edge-Router-Domain, DC1-Firewall, s1-core1
router_bgp.router_id, 1.1.1.1, s1-core1
