# User tags exported from dc3brian-1-4a62af9e-eos.topo.testdrive-dev.arista.com
# CVP version 2022.2.0
# Date generated: 2023-01-03 21:29:58.386336
DC, DC1, s1-brdr1
DC, DC1, s1-brdr2
DC, DC1, s1-leaf1
DC, DC1, s1-leaf2
DC, DC1, s1-leaf3
DC, DC1, s1-leaf4
DC, DC1, s1-spine1
DC, DC1, s1-spine2
Edge-Router-Domain, IP-Network, s1-brdr1
Edge-Router-Domain, IP-Network, s1-brdr2
Edge-Router-Domain, IP-Network, s1-core1
Edge-Router-Domain, IP-Network, s1-core2
Edge-Router-Domain, IP-Network, s2-brdr1
Edge-Router-Domain, IP-Network, s2-brdr2
Edge-Router-Domain, IP-Network, s2-core1
Edge-Router-Domain, IP-Network, s2-core2
Role, Leaf, s1-brdr1
Role, Leaf, s1-brdr2
Role, Leaf, s1-leaf1
Role, Leaf, s1-leaf2
Role, Leaf, s1-leaf3
Role, Leaf, s1-leaf4
Role, Leaf, s2-brdr1
Role, Leaf, s2-brdr2
Role, Leaf, s2-leaf1
Role, Leaf, s2-leaf2
Role, Leaf, s2-leaf3
Role, Leaf, s2-leaf4
Role, Edge-Router, s1-brdr1
Role, Edge-Router, s1-brdr2
Role, Edge-Router, s1-core1
Role, Edge-Router, s1-core2
Role, Edge-Router, s2-brdr1
Role, Edge-Router, s2-brdr2
Role, Edge-Router, s2-core1
Role, Edge-Router, s2-core2
Vtep, True, s1-brdr1
Vtep, True, s1-brdr2
Vtep, True, s1-core1
Vtep, True, s1-core2
Vtep, True, s1-leaf1
Vtep, True, s1-leaf2
Vtep, True, s1-leaf3
Vtep, True, s1-leaf4
Vtep, True, s2-brdr1
Vtep, True, s2-brdr2
Vtep, True, s2-core1
Vtep, True, s2-core2
Vtep, True, s2-leaf1
Vtep, True, s2-leaf2
Vtep, True, s2-leaf3
Vtep, True, s2-leaf4
Leaf-Domain, 4, s1-brdr1
Leaf-Domain, 4, s1-brdr2
Leaf-Domain, 4, s2-brdr1
Leaf-Domain, 4, s2-brdr2
NetworkServices, L2, s1-brdr1
NetworkServices, L2, s1-brdr2
NetworkServices, L2, s1-core1
NetworkServices, L2, s1-core2
NetworkServices, L2, s1-leaf1
NetworkServices, L2, s1-leaf2
NetworkServices, L2, s1-leaf3
NetworkServices, L2, s1-leaf4
NetworkServices, L2, s2-brdr1
NetworkServices, L2, s2-brdr2
NetworkServices, L2, s2-core1
NetworkServices, L2, s2-core2
NetworkServices, L2, s2-leaf1
NetworkServices, L2, s2-leaf2
NetworkServices, L2, s2-leaf3
NetworkServices, L2, s2-leaf4
NetworkServices, L3, s1-brdr1
NetworkServices, L3, s1-brdr2
NetworkServices, L3, s1-core1
NetworkServices, L3, s1-core2
NetworkServices, L3, s1-leaf1
NetworkServices, L3, s1-leaf2
NetworkServices, L3, s1-leaf3
NetworkServices, L3, s1-leaf4
NetworkServices, L3, s2-brdr1
NetworkServices, L3, s2-brdr2
NetworkServices, L3, s2-core1
NetworkServices, L3, s2-core2
NetworkServices, L3, s2-leaf1
NetworkServices, L3, s2-leaf2
NetworkServices, L3, s2-leaf3
NetworkServices, L3, s2-leaf4
NetworkServices, L3, s1-spine1
NetworkServices, L3, s1-spine2
NetworkServices, L3, s2-spine1
NetworkServices, L3, s2-spine2
NodeId, 7, s1-brdr1
NodeId, 7, s2-brdr1
router_bgp.router_id, 172.16.2.7, s1-brdr1
Network, IP-Network, s1-brdr1
Network, IP-Network, s1-brdr2
Network, IP-Network, s1-core1
Network, IP-Network, s1-core2
Network, IP-Network, s2-brdr1
Network, IP-Network, s2-brdr2
Network, IP-Network, s2-core1
Network, IP-Network, s2-core2
mlag_configuration.peer_link, Port-Channel2000, s1-brdr1
mlag_configuration.peer_link, Port-Channel2000, s1-brdr2
mlag_configuration.peer_link, Port-Channel2000, s1-leaf1
mlag_configuration.peer_link, Port-Channel2000, s1-leaf2
mlag_configuration.peer_link, Port-Channel2000, s1-leaf3
mlag_configuration.peer_link, Port-Channel2000, s1-leaf4
mlag_configuration.peer_link, Port-Channel2000, s2-brdr1
mlag_configuration.peer_link, Port-Channel2000, s2-brdr2
mlag_configuration.peer_link, Port-Channel2000, s2-leaf1
mlag_configuration.peer_link, Port-Channel2000, s2-leaf2
mlag_configuration.peer_link, Port-Channel2000, s2-leaf3
