ElementType,Label,Value,DeviceIdOrHostname,InterfaceName
DEVICE,Network,Ex1-CoreNet-eos1-eos11-eos13
DEVICE,Network,DC-Border-Leaf-eos6,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Network,f
DEVICE,Network,Ex1-ISP-eos7-eos10-eos19
DEVICE,Network,Ex4-CoreNet-eos1-eos2-eos5,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,Network,Ex4-CoreNet-eos1-eos2-eos5,5F25F4C27186651AB03E3940D74881AA
DEVICE,Network,Ex4-CoreNet-eos1-eos2-eos5,5B43A61E50CD1D472755A286BC30A92D
DEVICE,Network,DC-Border-Leaf-eos4,54814A3FC3EDD8610AF41015CF093055
DEVICE,Role,Spine,BB13363EAF0F77D87D12E8AB78542790
DEVICE,Role,Spine,2D9250F762B67C38FACAC7A27853401A
DEVICE,Role,Core,5B43A61E50CD1D472755A286BC30A92D
DEVICE,Role,Edge-Router,5F25F4C27186651AB03E3940D74881AA
DEVICE,Role,Edge-Router,54814A3FC3EDD8610AF41015CF093055
DEVICE,Role,Edge-Router,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,Role,Edge-Router,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Role,Leaf,433AD80F311A46CE26C34012C05E9714
DEVICE,Role,Leaf,54814A3FC3EDD8610AF41015CF093055
DEVICE,Role,Leaf,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Role,Leaf,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,Vtep,True,433AD80F311A46CE26C34012C05E9714
DEVICE,Vtep,True,54814A3FC3EDD8610AF41015CF093055
DEVICE,Vtep,True,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Vtep,True,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,Leaf-Domain,1,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Leaf-Domain,2,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,Leaf-Domain,3,433AD80F311A46CE26C34012C05E9714
DEVICE,Leaf-Domain,4,54814A3FC3EDD8610AF41015CF093055
DEVICE,NodeId,1,BB13363EAF0F77D87D12E8AB78542790
DEVICE,NodeId,1,2D9250F762B67C38FACAC7A27853401A
DEVICE,NodeId,2,433AD80F311A46CE26C34012C05E9714
DEVICE,NodeId,2,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,NodeId,3,54814A3FC3EDD8610AF41015CF093055
DEVICE,NodeId,3,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,Campus,Ex1-Campus-eos11-eos12-eos13
DEVICE,router_bgp.as,65000,BB13363EAF0F77D87D12E8AB78542790
DEVICE,router_bgp.as,65001,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,router_bgp.as,65002,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,router_bgp.as,65010,2D9250F762B67C38FACAC7A27853401A
DEVICE,router_bgp.as,65013,433AD80F311A46CE26C34012C05E9714
DEVICE,router_bgp.as,65014,54814A3FC3EDD8610AF41015CF093055
DEVICE,router_bgp.as,7,5F25F4C27186651AB03E3940D74881AA
DEVICE,router_bgp.as,7,5B43A61E50CD1D472755A286BC30A92D
DEVICE,router_bgp.as,7,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,NetworkServices,L2,433AD80F311A46CE26C34012C05E9714
DEVICE,NetworkServices,L2,54814A3FC3EDD8610AF41015CF093055
DEVICE,NetworkServices,L2,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,NetworkServices,L2,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,NetworkServices,L3,433AD80F311A46CE26C34012C05E9714
DEVICE,NetworkServices,L3,54814A3FC3EDD8610AF41015CF093055
DEVICE,NetworkServices,L3,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,NetworkServices,L3,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,NetworkServices,L3,2D9250F762B67C38FACAC7A27853401A
DEVICE,NetworkServices,L3,BB13363EAF0F77D87D12E8AB78542790
DEVICE,DC,Ex4-DC-eos3-eos4-eos9,54814A3FC3EDD8610AF41015CF093055
DEVICE,DC,Ex4-DC-eos3-eos4-eos9,2D9250F762B67C38FACAC7A27853401A
DEVICE,DC,Ex4-DC-eos3-eos4-eos9,433AD80F311A46CE26C34012C05E9714
DEVICE,DC,Ex4-DC-eos6-eos8-eos14,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,DC,Ex4-DC-eos6-eos8-eos14,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,DC,Ex4-DC-eos6-eos8-eos14,BB13363EAF0F77D87D12E8AB78542790
DEVICE,Leaf-Number,1,54814A3FC3EDD8610AF41015CF093055
DEVICE,Leaf-Number,1,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Leaf-Number,2,433AD80F311A46CE26C34012C05E9714
DEVICE,Leaf-Number,2,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,Spine-Number,1,2D9250F762B67C38FACAC7A27853401A
DEVICE,Spine-Number,1,BB13363EAF0F77D87D12E8AB78542790
DEVICE,mlag_configuration.peer_link,Port-Channel2000
DEVICE,router_bgp.router_id,172.16.0.1,BB13363EAF0F77D87D12E8AB78542790
DEVICE,router_bgp.router_id,172.16.0.1,2D9250F762B67C38FACAC7A27853401A
DEVICE,router_bgp.router_id,1.1.1.1,5F25F4C27186651AB03E3940D74881AA
DEVICE,router_bgp.router_id,172.16.0.3,433AD80F311A46CE26C34012C05E9714
DEVICE,router_bgp.router_id,172.16.0.3,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,router_bgp.router_id,172.16.0.4,54814A3FC3EDD8610AF41015CF093055
DEVICE,router_bgp.router_id,172.16.0.4,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,router_bgp.router_id,2.2.2.2,5B43A61E50CD1D472755A286BC30A92D
DEVICE,router_bgp.router_id,5.5.5.5,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,Edge-Router-Domain,18,4D9C1FFFDBF8744059DDC107C08F0513
DEVICE,Edge-Router-Domain,20,7F1BA04041774A572A2AACD4368A864B
DEVICE,Edge-Router-Domain,4,54814A3FC3EDD8610AF41015CF093055
DEVICE,Edge-Router-Domain,5,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,Edge-Router-Domain,6,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Edge-Router-Domain,1,5F25F4C27186651AB03E3940D74881AA
DEVICE,Switch-Group,DC1_End_Devices,4D9C1FFFDBF8744059DDC107C08F0513
DEVICE,Switch-Group,DC2_Edge_Devices,7F1BA04041774A572A2AACD4368A864B
DEVICE,Switch-Group,Switch3_Edge_Ports,433AD80F311A46CE26C34012C05E9714
DEVICE,Switch-Group,Switch3_Edge_Ports,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Switch-Group,Switch3_Edge_Ports,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,Switch-Group,Switch8_Edge_Ports,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,DC-Pod,1,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,DC-Pod,1,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,DC-Pod,1,BB13363EAF0F77D87D12E8AB78542790
DEVICE,DC-Pod,2,2D9250F762B67C38FACAC7A27853401A
DEVICE,DC-Pod,2,433AD80F311A46CE26C34012C05E9714
DEVICE,DC-Pod,2,54814A3FC3EDD8610AF41015CF093055
