ElementType,Label,Value,DeviceIdOrHostname,InterfaceName
DEVICE,Role,Core
DEVICE,Role,RR
DEVICE,Role,Spine,433AD80F311A46CE26C34012C05E9714
DEVICE,Role,Spine,54814A3FC3EDD8610AF41015CF093055
DEVICE,Role,Leaf,5B43A61E50CD1D472755A286BC30A92D
DEVICE,Role,Leaf,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,Role,Leaf,2D9250F762B67C38FACAC7A27853401A
DEVICE,Role,Edge-Router,5F25F4C27186651AB03E3940D74881AA
DEVICE,Role,Edge-Router,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Role,Edge-Router,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,Role,Edge-Router,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,router_bgp.router_id,172.16.0.3
DEVICE,router_bgp.router_id,19.19.19.19
DEVICE,router_bgp.router_id,2.2.2.2
DEVICE,router_bgp.router_id,172.16.0.7,2D9250F762B67C38FACAC7A27853401A
DEVICE,router_bgp.router_id,13.13.13.13,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,router_bgp.router_id,6.6.6.6,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,router_bgp.router_id,7.7.7.7
DEVICE,router_bgp.router_id,172.16.0.1,433AD80F311A46CE26C34012C05E9714
DEVICE,router_bgp.router_id,172.16.0.2,54814A3FC3EDD8610AF41015CF093055
DEVICE,router_bgp.router_id,10.10.10.10
DEVICE,router_bgp.router_id,172.16.0.5,5B43A61E50CD1D472755A286BC30A92D
DEVICE,router_bgp.router_id,5.5.5.5
DEVICE,router_bgp.router_id,17.17.17.17
DEVICE,router_bgp.router_id,1.1.1.1,5F25F4C27186651AB03E3940D74881AA
DEVICE,router_bgp.router_id,11.11.11.11,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,router_bgp.router_id,172.16.0.6,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,router_bgp.router_id,172.16.0.4
DEVICE,Campus,Ex2-Campus-eos2-eos3-eos4-eos5
DEVICE,Campus,Ex3-Campus-eos11-eos12-eos13
DEVICE,Campus,Ex3-Campus-eos2-eos3-eos4-eos5
DEVICE,Campus,Ex2-Campus-eos11-eos12-eos13
